,train,val,iou
0,1.4494761899870607,1.2476371309973977,0.5103387812188533
1,1.1812695557216428,1.0430218252268704,0.5883057187683685
2,1.083749934360493,1.007762678644874,0.6161536771929049
3,1.0234165954659051,0.9443374655463479,0.6363132817109604
4,0.9927722690586428,0.9227903349833055,0.6445137960064762
5,0.9632432228075921,0.9431416934186762,0.6416914979739763
6,0.9429047285039815,0.8984623876484957,0.6513417610974976
7,0.933126750549488,0.8888574350963939,0.6671757314092117
8,0.9224783952938628,0.8890451355413957,0.6512040201695956
9,0.9010106125313935,0.8743634847077456,0.6650114015468762
10,0.8985371407991916,0.9228637218475342,0.6467582625990742
11,0.88830467708225,0.9061594605445862,0.6634536545680598
12,0.886137018355991,0.8345323421738364,0.6774297267990653
13,0.8757683451359088,0.9053874720226635,0.6506528665283448
14,0.8725327095895443,0.8683411777019501,0.6763481648994889
15,0.8675092238992322,0.8339799046516418,0.6804106662298395
16,0.8587610697365637,0.8285701627081091,0.6847932542597703
17,0.8564429192307725,0.8295414718714628,0.6839441754534048
18,0.8522956976004713,0.8362599963491614,0.6786416058679425
19,0.8428947523301157,0.8595379320057955,0.6646893402554355
20,0.8446939812516266,0.8288091881708666,0.6827527765081417
21,0.8344822657471644,0.8397529206492684,0.6840293163606687
22,0.8357235162109353,0.8245789923451163,0.6773040346317758
23,0.8357758594701182,0.8096110631119121,0.6829981174411952
24,0.8372386728558036,0.8140746517614885,0.6833918850498623
25,0.8184370081033693,0.8252755403518677,0.6777064408070949
26,0.8306921967920268,0.8116464967077429,0.6851817082442142
27,0.8202069905222933,0.8385878990996968,0.679496864848217
28,0.8206269731542368,0.835822958837856,0.6800170760892891
29,0.8179736948843791,0.9031672748652372,0.6577667054580659
30,0.8174292759210174,0.84156134724617,0.6842863786154401
31,0.8080838123668953,0.7970466830513694,0.6880975671152391
32,0.809133614441826,0.8354805978861722,0.6875132014136853
33,0.8069039013977494,0.8125335790894248,0.6816804541740855
34,0.8079628171007243,0.7960408980196173,0.6872909411970652
35,0.7983305528651821,0.8058391592719338,0.6878749742548149
36,0.7987771855210358,0.8446520485661246,0.6768705570639674
37,0.7955118922086862,0.893484971740029,0.6617143050705718
38,0.7956691633461176,0.8249317136677828,0.691854377744379
