Category,Term,Function_group,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Enrichment Score,Cluster
INTERPRO,"IPR019786:Zinc finger, PHD-type, conserved site",TF,23,0.821428571,3.16E-05,"KMT2E, KDM5A, PHF3, KDM5B, SHPRH, KDM2A, KDM5D, PHF20, KMT2C, ZMYND8, CHD4, RSF1, CHD3, ASH1L, PHF21A, ING4, NSD3, MLLT10, MTF2, NSD2, TRIM24, KDM7A, BPTF",2508,68,19176,2.586124402,0.086649442,0.006473863,0.006433288,6.145814145,2
UP_SEQ_FEATURE,ZN_FING:PHD-type 1,TF,16,0.571428571,4.58E-05,"KDM5A, KDM5B, KDM4B, KDM4C, KDM5D, KMT2A, KMT2C, CHD4, CHD3, NSD3, MLLT10, KAT6B, KAT6A, MTF2, NSD2, BPTF",2621,39,20532,3.213805653,0.343263687,0.014015435,0.013965031,6.145814145,2
UP_SEQ_FEATURE,ACT_SITE:Proton acceptor,protein kinase,176,6.285714286,1.25E-10,"PANK3, TESK2, ENO1, ENO2, HS6ST2, IGF1R, NPEPPS, SLK, AKT3, PMPCB, NEK1, MAP3K8, MAP3K9, STK32A, STK32C, CMTR2, CDKL2, PRKCG, CDKL3, USP8, EPHA4, CDKL5, PRKCH, IAH1, ENDOG, ENTPD4, PRKCB, ENTPD5, USP3, LMTK3, HSD11B1L, DYRK1B, CSNK1E, CPT1C, SDHA, UHMK1, OBSCN, BTD, ULK2, PHPT1, ALDH7A1, BRSK1, H6PD, MINDY2, STK39, PLA2G6, NLK, ACAT1, STK3, TTBK2, SULT1A1, LDHA, OARD1, TRPM7, AMZ2, USP51, LTA4H, MAP2K5, MAP2K6, FN3K, CDK18, NEK9, CDK19, ZRANB1, YES1, EPHX2, EIF2AK1, NRDC, EIF2AK2, BRAF, LNPEP, EIF2AK4, ACADSB, CLK4, PTK2, CLK3, DCLK1, FER, CDK6, WNK1, WNK3, CDK13, OGT, FGFR3, FGFR2, CDK16, FGFR1, DDR1, GSK3B, ACADVL, USP37, FLT1, DHRS11, USP32, USP34, OTUD7B, AATK, IKBKB, DSTYK, ACOXL, TLK2, TLK1, POLI, TK2, ACADS, JAK3, PRKG1, MAP4K1, USP47, HSDL2, USP49, CAMK1D, TPI1, ASMTL, TYK2, OXSR1, SIRT1, TGFBR1, CIT, LATS1, HCK, LATS2, ALDH5A1, ANG, ALDOC, ALDOA, DLD, RBKS, USP13, CAMK2D, PRKAA2, PNCK, ROCK1, HDAC1, USP11, HSD17B4, HSD17B14, PRKX, ACVR1B, LTC4S, HSD17B11, HSD17B8, SRR, ERMP1, PAK3, XDH, CBR4, MAP4K4, USP24, MAP3K2, MAP3K1, USP9X, RIOK3, PNPLA8, USP9Y, CDC42BPB, CDC42BPA, USP28, HIPK1, ACVR2B, DHRS3, HIPK3, HIPK2, MAPK10, SNRK, PFKL, PINK1, TEC, AXL, IMPDH2, STK17B, TAOK1, PNPLA4, PKN2, PFKM, PFKP",2621,861,20532,1.601303862,1.15E-06,1.92E-07,1.91E-07,6.014651424,3
INTERPRO,IPR011009:Protein kinase-like domain,protein kinase,116,4.142857143,1.11E-07,"TRIO, TESK2, KNDC1, IGF1R, SLK, AKT3, NEK1, MAP3K8, MAP3K9, STK32A, ACAD10, STK32C, GTF2I, CDKL2, PRKCG, CDKL3, EPHA4, CDKL5, PRKCH, PRKCB, LMTK3, CASK, DYRK1B, CSNK1E, VRK3, UHMK1, OBSCN, ULK2, BRSK1, PRKDC, STK39, NLK, STK3, TTBK2, TRPM7, MAP2K5, MAP2K6, FN3K, CDK18, NEK9, CDK19, YES1, INSR, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CLK4, PTK2, CLK3, DCLK1, TBCK, FER, CDK6, WNK1, PTK7, WNK3, ATM, CDK13, FGFR3, FGFR2, CDK16, ATR, FGFR1, DDR1, GSK3B, SMG1, FLT1, AATK, PIK3CD, IKBKB, DSTYK, TLK2, TLK1, JAK3, PRKG1, MAP4K1, CAMK1D, STRADA, KSR2, TYK2, OXSR1, TGFBR1, CIT, LATS1, HCK, LATS2, PEAK1, PIK3C3, CAMK2D, PRKAA2, PNCK, ROCK1, PRKX, ACVR1B, PAK3, CLASP1, MAP4K4, MAP3K2, MAP3K1, RIOK3, CDC42BPB, CDC42BPA, HIPK1, ACVR2B, HIPK3, HIPK2, MAPK10, SNRK, PINK1, TEC, AXL, STK17B, TAOK1, PKN2",2508,547,19176,1.621441005,3.19E-04,6.38E-05,6.34E-05,6.014651424,3
GOTERM_BP_DIRECT,GO:0006468~protein phosphorylation,protein kinase,105,3.75,2.27E-07,"APP, TRIO, TESK2, SLK, PPME1, AKT3, PDK3, NEK1, MAP3K8, SOX9, MAP3K9, PDK1, CDKL2, PRKCG, CDKL3, CDKL5, PRKCH, PRKCB, IGFBP3, LMTK3, ADAM10, CASK, DYRK1B, CSNK1E, OBSCN, BRSK1, PRKDC, STK39, PIK3R1, NLK, STK3, SMAD2, CDK18, NEK9, CDK19, INSR, EIF2AK2, PHKB, BRAF, EIF2AK4, CLK4, SMAD5, PTK2, CLK3, DCLK1, BMP2, FER, CDK6, WNK1, PTK7, PTPRA, WNK3, ATM, CDK13, CDK16, ATR, FGFR1, GSK3B, SMG1, AATK, PIK3CD, IKBKB, RB1CC1, TLK2, TLK1, JAK3, PRKG1, MAP4K1, STRADA, KSR2, TYK2, OXSR1, TGFBR1, LATS1, HCK, LATS2, PEAK1, PIK3C3, FAM20A, GAS6, CAMK2D, PRKAA2, ROCK1, ACVR1B, CDC42, PAK3, MAP4K4, MAP3K2, MAP3K1, RIOK3, KLHL3, CDC42BPB, CDC42BPA, HIPK1, ACVR2B, HIPK3, HIPK2, MAPK10, SNRK, PINK1, TEC, STK17B, TAOK1, PKN2, TAF1",2451,503,19333,1.646558835,0.001417743,2.03E-04,2.02E-04,6.014651424,3
UP_SEQ_FEATURE,DOMAIN:Protein kinase,protein kinase,106,3.785714286,2.88E-07,"TRIO, TESK2, IGF1R, SLK, AKT3, NEK1, MAP3K8, MAP3K9, STK32A, STK32C, GTF2I, CDKL2, PRKCG, CDKL3, EPHA4, CDKL5, PRKCH, PRKCB, LMTK3, CASK, DYRK1B, CSNK1E, VRK3, UHMK1, OBSCN, ULK2, BRSK1, STK39, NLK, STK3, TTBK2, MAP2K5, MAP2K6, CDK18, NEK9, CDK19, YES1, INSR, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CLK4, PTK2, CLK3, DCLK1, TBCK, FER, CDK6, WNK1, PTK7, WNK3, CDK13, FGFR3, FGFR2, CDK16, FGFR1, DDR1, GSK3B, FLT1, AATK, IKBKB, DSTYK, TLK2, TLK1, JAK3, PRKG1, MAP4K1, CAMK1D, STRADA, KSR2, TYK2, OXSR1, TGFBR1, CIT, LATS1, HCK, LATS2, PEAK1, CAMK2D, PRKAA2, PNCK, ROCK1, PRKX, ACVR1B, PAK3, CLASP1, MAP4K4, MAP3K2, MAP3K1, RIOK3, CDC42BPB, CDC42BPA, HIPK1, ACVR2B, HIPK3, HIPK2, MAPK10, SNRK, PINK1, TEC, AXL, STK17B, TAOK1, PKN2",2621,508,20532,1.634580779,0.002641073,1.76E-04,1.76E-04,6.014651424,3
GOTERM_MF_DIRECT,GO:0004674~protein serine/threonine kinase activity,protein kinase,88,3.142857143,5.43E-07,"GSK3B, SMG1, TRIO, AATK, TESK2, IKBKB, DSTYK, SLK, AKT3, TLK2, NEK1, TLK1, PDK3, MAP3K8, MAP3K9, STK32A, STK32C, GTF2I, CDKL2, MAP4K1, PRKCG, CDKL5, CAMK1D, PRKCH, PRKCB, LMTK3, DYRK1B, CASK, CSNK1E, KSR2, OXSR1, VRK3, TGFBR1, UHMK1, CIT, LATS1, LATS2, OBSCN, ULK2, BRSK1, CAMK2D, PRKAA2, PNCK, ROCK1, PRKDC, STK39, PRKX, ACVR1B, NLK, STK3, TTBK2, TRPM7, PAK3, CLASP1, MAP2K5, MAP4K4, MAP2K6, MAP3K2, CDK18, NEK9, CDK19, MAP3K1, RIOK3, EIF2AK2, BRAF, EIF2AK4, CDC42BPB, CDC42BPA, HIPK1, CLK4, ACVR2B, HIPK3, CLK3, DCLK1, HIPK2, MAPK10, SNRK, PINK1, WNK1, STK17B, TAOK1, WNK3, PKN2, ATM, CDK13, CDK16, ATR, TAF1",2497,392,18908,1.699901106,9.60E-04,1.07E-04,1.05E-04,6.014651424,3
UP_KW_MOLECULAR_FUNCTION,KW-0418~Kinase,protein kinase,153,5.464285714,7.44E-07,"PANK3, TRIO, DGKA, TESK2, IGF1R, SLK, PPIP5K1, AKT3, PDK3, NEK1, MAP3K8, MAP3K9, STK32A, STK32C, PDK1, GTF2I, CDKL2, PRKCG, CDKL3, EPHA4, WSB1, CDKL5, PRKCH, PRKCB, MAGI2, LMTK3, CASK, DYRK1B, CSNK1E, VRK3, MAPK8IP3, UHMK1, OBSCN, AKAP9, ULK2, OBSL1, BRSK1, PFKFB4, PFKFB3, PRKDC, STK39, AK3, PIK3R1, NLK, STK3, TTBK2, TKFC, PGK1, PIP5K1A, TRPM7, MAP2K5, MAP2K6, IP6K2, FN3K, CDK18, NEK9, CDK19, YES1, INSR, EIF2AK1, EIF2AK2, PHKB, BRAF, HOOK3, EIF2AK4, CLK4, PTK2, CLK3, DCLK1, MOB1B, FER, CDK6, WNK1, HOOK1, GKAP1, WNK3, CALM3, ATM, CDK13, FGFR3, FGFR2, CDK16, ATR, FGFR1, CDKN1C, DDR1, GSK3B, CDKN1A, SMG1, CDKN1B, FLT1, SH3KBP1, AKAP8L, AATK, PIK3CD, HK2, IKBKB, NADK2, DSTYK, AKAP10, TLK2, TLK1, TK2, JAK3, PRKG1, PSTK, MAP4K1, CAMK1D, KSR2, TYK2, OXSR1, TGFBR1, CIT, LATS1, HCK, LATS2, PKM, PIK3C3, RBKS, CAMK2D, PRKAA2, PNCK, SGMS1, ROCK1, PRKX, ACVR1B, PAPSS1, GK5, PAK3, MAP4K4, MAP3K2, MAP3K1, RIOK3, KIDINS220, CDC42BPB, CDC42BPA, HIPK1, ACVR2B, HIPK3, HIPK2, MAPK10, SNRK, PFKL, PINK1, TEC, AXL, STK17B, TAOK1, PKN2, PFKM, PFKP, TAF1",1650,747,11719,1.454713399,7.30E-05,2.43E-05,2.13E-05,6.014651424,3
INTERPRO,"IPR000719:Protein kinase, catalytic domain",protein kinase,105,3.75,9.23E-07,"TRIO, TESK2, IGF1R, SLK, AKT3, NEK1, MAP3K8, MAP3K9, STK32A, STK32C, GTF2I, CDKL2, PRKCG, CDKL3, EPHA4, CDKL5, PRKCH, PRKCB, LMTK3, CASK, DYRK1B, CSNK1E, VRK3, UHMK1, OBSCN, ULK2, BRSK1, STK39, NLK, STK3, TTBK2, MAP2K5, MAP2K6, CDK18, NEK9, CDK19, YES1, INSR, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CLK4, PTK2, CLK3, DCLK1, TBCK, FER, CDK6, WNK1, PTK7, WNK3, CDK13, FGFR3, FGFR2, CDK16, FGFR1, DDR1, GSK3B, FLT1, AATK, IKBKB, DSTYK, TLK2, TLK1, JAK3, PRKG1, MAP4K1, CAMK1D, STRADA, KSR2, TYK2, OXSR1, TGFBR1, CIT, LATS1, HCK, LATS2, PEAK1, CAMK2D, PRKAA2, PNCK, ROCK1, PRKX, ACVR1B, PAK3, CLASP1, MAP4K4, MAP3K2, MAP3K1, CDC42BPB, CDC42BPA, HIPK1, ACVR2B, HIPK3, HIPK2, MAPK10, SNRK, PINK1, TEC, AXL, STK17B, TAOK1, PKN2",2508,502,19176,1.599248937,0.002646506,3.79E-04,3.76E-04,6.014651424,3
INTERPRO,"IPR017441:Protein kinase, ATP binding site",protein kinase,85,3.035714286,2.05E-06,"GSK3B, FLT1, AATK, TESK2, IGF1R, DSTYK, SLK, AKT3, TLK2, NEK1, TLK1, MAP3K9, STK32A, JAK3, PRKG1, STK32C, GTF2I, CDKL2, MAP4K1, PRKCG, CDKL3, EPHA4, CDKL5, CAMK1D, PRKCH, PRKCB, LMTK3, DYRK1B, TYK2, CSNK1E, OXSR1, TGFBR1, CIT, HCK, LATS2, OBSCN, ULK2, BRSK1, CAMK2D, PRKAA2, PNCK, ROCK1, STK39, PRKX, ACVR1B, NLK, STK3, TTBK2, PAK3, MAP2K5, MAP4K4, MAP2K6, MAP3K2, CDK18, CDK19, YES1, MAP3K1, INSR, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CDC42BPB, CDC42BPA, HIPK1, CLK4, HIPK3, CLK3, DCLK1, PTK2, HIPK2, FER, SNRK, TEC, CDK6, AXL, STK17B, TAOK1, PKN2, CDK13, FGFR3, FGFR2, CDK16, FGFR1",2508,390,19176,1.666421298,0.005873947,7.36E-04,7.32E-04,6.014651424,3
UP_KW_MOLECULAR_FUNCTION,KW-0723~Serine/threonine-protein kinase,protein kinase,89,3.178571429,4.43E-06,"GSK3B, SMG1, TRIO, AATK, TESK2, IKBKB, DSTYK, SLK, AKT3, TLK2, NEK1, TLK1, MAP3K8, MAP3K9, STK32A, PRKG1, STK32C, GTF2I, CDKL2, MAP4K1, PRKCG, CDKL3, CDKL5, CAMK1D, PRKCH, PRKCB, LMTK3, DYRK1B, CASK, CSNK1E, KSR2, OXSR1, TGFBR1, UHMK1, CIT, LATS1, LATS2, OBSCN, ULK2, BRSK1, CAMK2D, PRKAA2, PNCK, ROCK1, PRKDC, STK39, PRKX, ACVR1B, NLK, STK3, TTBK2, TRPM7, PAK3, MAP2K5, MAP4K4, MAP2K6, MAP3K2, CDK18, NEK9, CDK19, MAP3K1, RIOK3, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CDC42BPB, CDC42BPA, HIPK1, CLK4, ACVR2B, HIPK3, CLK3, DCLK1, HIPK2, MAPK10, SNRK, PINK1, CDK6, WNK1, STK17B, TAOK1, WNK3, PKN2, ATM, CDK13, CDK16, ATR, TAF1",1650,394,11719,1.604354715,4.34E-04,8.69E-05,7.62E-05,6.014651424,3
INTERPRO,"IPR008271:Serine/threonine-protein kinase, active site",protein kinase,71,2.535714286,5.16E-06,"GSK3B, TRIO, IKBKB, DSTYK, SLK, AKT3, TLK2, NEK1, TLK1, MAP3K8, MAP3K9, STK32A, PRKG1, STK32C, GTF2I, CDKL2, PRKCG, CDKL3, CDKL5, CAMK1D, PRKCH, PRKCB, DYRK1B, CSNK1E, KSR2, TGFBR1, CIT, LATS1, LATS2, OBSCN, ULK2, BRSK1, CAMK2D, PRKAA2, PNCK, ROCK1, PRKX, ACVR1B, NLK, PAK3, MAP2K5, MAP4K4, MAP2K6, CDK18, NEK9, CDK19, MAP3K1, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CDC42BPB, CDC42BPA, HIPK1, CLK4, ACVR2B, HIPK3, CLK3, DCLK1, HIPK2, MAPK10, SNRK, PINK1, CDK6, WNK1, STK17B, TAOK1, WNK3, PKN2, CDK13, CDK16",2508,316,19176,1.717915329,0.014720525,0.001482991,0.001473696,6.014651424,3
GOTERM_BP_DIRECT,GO:0018105~peptidyl-serine phosphorylation,protein kinase,45,1.607142857,1.46E-05,"BRSK1, GSK3B, SMG1, CAMK2D, PNCK, ROCK1, TNKS, PRKDC, SLC1A1, STK39, PRKX, TTBK2, IKBKB, AKT3, TLK2, TLK1, PDK3, RICTOR, STK32A, STK32C, PRKCG, MAP4K1, PRKCH, CAMK1D, PRKCB, DYRK1B, CSNK1E, VRK3, HIPK1, HIPK3, TGFBR1, DCLK1, HIPK2, UHMK1, LATS1, PINK1, LATS2, WNK1, ULK2, PKN2, ATM, GAS6, TDGF1, TAF1, ATR",2451,182,19333,1.950280442,0.087314479,0.006524901,0.006493577,6.014651424,3
GOTERM_MF_DIRECT,GO:0004672~protein kinase activity,protein kinase,79,2.821428571,3.64E-05,"GSK3B, SMG1, AATK, TESK2, IKBKB, AKT3, TRIM24, NEK1, PDK3, MAP3K8, MAP3K9, PRKG1, PDK1, CDKL2, MAP4K1, PRKCG, CDKL3, EPHA4, CDKL5, PRKCH, STRADA, PRKCB, LMTK3, DYRK1B, CASK, TYK2, CSNK1E, KSR2, VRK3, TGFBR1, CIT, OBSCN, PEAK1, PIK3C3, BRSK1, PRKAA2, PNCK, ROCK1, PRKDC, STK39, NLK, STK3, TTBK2, MAP2K5, MAP4K4, MAP2K6, MAP3K2, CDK18, NEK9, CDK19, MAP3K1, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CDC42BPB, HIPK1, HIPK3, CLK3, DCLK1, PTK2, HIPK2, MAPK10, TBCK, SNRK, PINK1, TEC, WNK1, PTK7, STK17B, TAOK1, WNK3, PKN2, CDK13, FGFR2, CDK16, ATR, TAF1",2497,379,18908,1.578392224,0.062404295,0.004027204,0.003970355,6.014651424,3
SMART,SM00220:S_TKc,protein kinase,82,2.928571429,7.61E-05,"GSK3B, TRIO, IKBKB, DSTYK, SLK, AKT3, TLK2, NEK1, TLK1, MAP3K8, MAP3K9, STK32A, PRKG1, STK32C, GTF2I, CDKL2, MAP4K1, PRKCG, CDKL3, EPHA4, CDKL5, CAMK1D, PRKCH, STRADA, PRKCB, DYRK1B, CASK, CSNK1E, KSR2, OXSR1, VRK3, TGFBR1, UHMK1, CIT, LATS1, LATS2, OBSCN, PEAK1, ULK2, BRSK1, CAMK2D, PRKAA2, PNCK, ROCK1, STK39, PRKX, ACVR1B, NLK, STK3, TTBK2, PAK3, MAP2K5, MAP4K4, MAP2K6, MAP3K2, CDK18, NEK9, CDK19, MAP3K1, EIF2AK1, EIF2AK2, BRAF, EIF2AK4, CDC42BPB, CDC42BPA, HIPK1, CLK4, HIPK3, CLK3, DCLK1, HIPK2, MAPK10, SNRK, PINK1, CDK6, WNK1, STK17B, TAOK1, WNK3, PKN2, CDK13, CDK16",1535,365,10379,1.519036188,0.040786541,0.013880019,0.013677021,6.014651424,3
UP_KW_DOMAIN,KW-0863~Zinc-finger,TF,359,12.82142857,3.54E-16,"ATF2, ZNF296, ZFYVE9, ZMYND8, ZNF292, JMJD1C, CBLB, IKZF2, GPATCH8, ZDBF2, ZC3H12C, ZNF608, ZSCAN30, ZMIZ1, PEG10, ZNF605, TRIM24, ZNF844, ZNF721, SCAPER, TRIM22, PRKCG, PRKCH, ESCO1, PRKCB, SCAF11, ZNF160, ZFP2, NSMCE1, ZNF12, ZNF14, THAP2, RC3H2, THAP6, THAP5, ZFYVE16, ZNF839, ZNF717, ZNF714, THAP9, ZNF711, ZFPM1, OPTN, ZNF276, ZNF397, L3MBTL1, ZNF154, ZNF395, MTMR3, ZNF391, MYCBP2, TSHZ2, BAZ2A, BAZ2B, ZBTB4, MBTD1, RNF213, ZNF704, RNF217, VPS8, HLTF, HIVEP1, ZBED1, ZNF148, ZNF146, TRMT1L, ZSCAN18, ZRANB3, ZNF264, PHC2, ZRANB1, ZNF141, ZNF382, TIPARP, ZNF260, BRAF, NR1D2, ZNF34, TRERF1, PHC3, MLLT10, RNF227, ZNF138, DZIP1, RBAK, ZNF135, DZIP3, ZNF133, ZNF254, PHF3, CDKN1A, ZNF251, PHF20, TUT4, OTUD7B, ZNF43, RSF1, ASH2L, ZNF44, PHF7, TRIM8, EEA1, ING4, GLI4, ZMYM2, PCLO, ZMYM4, TRIM2, ZMYM5, ZNF280C, ZMYM6, REV3L, RNF150, ARIH1, SHPRH, TET1, ASH1L, CBFA2T2, CBFA2T3, CIT, RNF169, ZEB1, AEBP2, MTF2, TAX1BP1, ZNF117, PPARA, ZNF470, ZNF518B, ZNF518A, XIAP, ZNF66, NSD3, FGD4, ZFP14, FGD6, NSD2, ZSWIM8, ZNF227, ZSWIM6, ZNF226, ZNF467, RNF130, LNPK, ZNF585A, RUNX1T1, EGLN1, ZNF100, MAP3K1, ANKIB1, ZNF581, ZNF580, MIB2, ZNF77, MYO9A, GATAD2B, MIB1, ZNF33A, RNF146, RNF149, TTC3, NBR1, TCEA2, ZNF217, TCEA1, ZNF337, ZNF577, ZNF334, ZNF354C, ZNF333, ZFP28, ZNF331, ZNF451, ZBTB25, DGKA, ZFAND5, ZBTB26, ZBTB21, ZBTB20, PRDM2, UBE3A, RORA, ZFAND1, SALL1, ZFP30, SALL3, ZNF83, RNF19A, SALL4, POGZ, ZNF329, ZNF449, ARID2, ZNF445, ZFP37, ZNF322, ZNF563, ZNF441, MYLIP, ZNF681, KDM2A, ZGRF1, USP3, ZBTB37, ZCRB1, PIAS2, PIAS1, CLIP1, ZNF91, ACAP2, KAT6B, KAT6A, ZNF678, WDFY3, ADNP, ZNF677, UTRN, ZNF555, ZNF433, ZNF675, ZNF431, CUL9, KMT2E, ZNF793, ZNF791, KMT2A, KMT2C, UBR2, DTX3, RLF, RASGRP1, PHF21A, PHF21B, RAI1, ZMAT1, ZMAT4, ZKSCAN8, DNAJC21, UBR5, ZNF428, ZBBX, ZKSCAN2, RNF170, SMYD4, USP51, ZNF667, SMYD3, ZNF785, PDZD8, ZNF664, ANKZF1, ZKSCAN1, BPTF, ZNF783, ZBTB18, PHF11, ZBTB10, HELZ, ZFHX4, LIN28B, BCL6, ZNF419, ZNF418, ZNF658, MDM2, RNF181, PHF13, MDM4, SP8, ZNF655, ZNF654, ZNF532, ZNF652, PLEKHM3, KDM5A, KDM5B, ZNF891, ZNF770, TRIM73, CALCOCO1, RBM26, KDM5D, BNC2, CALCOCO2, AKAP8L, CHD4, CHD3, ZC3H6, ZFP82, RBM4, ZIC2, ZIC3, GATAD1, ZNF404, ZNF644, POLK, ZNF521, ZNF883, RBM5, KLF11, ZNF880, USP49, KLF13, ATRX, KSR2, ZNF75D, ARFGAP3, PJA2, ZFP90, AGAP9, ZNF519, RASA4, ZNF638, TRAF5, ZNF516, ZNF514, TRIM54, BIRC2, FAN1, KDM7A, TRIM56, USP13, KDM3A, KDM3B, UHRF2, ROCK1, PLAG1, RNF38, RNF5, CXXC4, ZBTB41, MTA1, ZNF507, ZNF626, ZNF621, MTA3, ZNF740, TRIM44, TRIM45, KDM4B, KDM4C, TAF15, ZFC3H1, CDC42BPB, ZIC5, KLF4, CDC42BPA, CTCFL, KLF8, REST, TEC, ZNF738, LNX1, SNRNP48, TRIM37, TRIM38, ZNF732, ZNF610, ZNF730",1922,1829,14486,1.479366707,9.99E-15,3.54E-15,2.72E-15,5.955456286,4
GOTERM_BP_DIRECT,"GO:0006355~regulation of transcription, DNA-templated",TF,195,6.964285714,6.19E-11,"ATF2, ZMYND8, JMJD1C, SOX21, SOX2, SOX3, PPP2R1A, SOX15, GPBP1, MYB, ZNF844, ZNF721, TRIM22, ZNF160, RFX3, SOX11, ZNF12, ZNF717, ZNF714, ZNF711, CLOCK, L3MBTL1, ZNF154, ZNF395, CRABP2, MAGED1, BAZ2A, NLK, ZBTB4, MBTD1, MIER1, ZBED1, ZNF146, ZNF264, ZNF141, ZNF382, MTERF2, INSR, POU6F2, SMARCA5, NR1D2, ZNF34, SMARCA1, GOLGB1, HBP1, ZNF138, RBAK, ZNF135, ZNF133, ZNF254, SETD5, SETD2, BTG1, ZNF251, PHF20, CITED2, SPIN3, BHLHE41, ZNF43, RSF1, ZNF44, HIF3A, ING4, GLI4, ZNF280C, TFEB, ASH1L, MLF1, SUPT3H, MED23, MN1, MTF2, ZNF117, VGLL3, ZNF470, ZNF66, NSD3, ZFP14, NFIL3, NSD2, ZNF227, GPBP1L1, ZNF226, APBB1, ZNF585A, ZNF100, ATAD2, ZNF77, ZNF33A, NFIA, TCEA2, ZNF217, TCEA1, ZNF337, ZNF577, ZNF334, ZNF333, ZFP28, ZNF331, WWC2, ARID4B, PRDM2, RORA, EFEMP1, ZFP30, ZNF83, ARID2, ZNF445, ZFP37, ZNF563, ZNF441, TLE4, ZNF681, ZNF91, DMTF1, KAT6B, KAT6A, PPIE, ZNF678, ZNF677, ZNF433, ZNF675, AJUBA, ZNF431, KMT2E, HOMEZ, ZNF793, ZNF791, KMT2C, ATXN1, ZKSCAN8, ZNF667, ZNF785, ZNF664, ZKSCAN1, BPTF, SMAD2, SMAD4, NONO, SMAD9, FOXN3, SMAD5, NFKB2, DRAP1, MLXIPL, BMP2, YEATS2, ZNF419, ZNF418, BHLHE40, ZNF658, ZNF655, ZNF891, BNC2, ONECUT1, HP1BP3, CHD7, CHD3, ZFP82, GATAD1, ZNF404, HMG20A, ERC1, ZNF880, ATRX, ZNF75D, ZFP90, TGFBR1, ZNF519, ZNF788P, ZNF516, TERF2IP, ZNF514, USP13, PLAG1, ACVR1B, MLLT3, MTA1, TP53INP1, ZNF626, VHL, ZNF621, MTA3, HES4, TCFL5, ATF7IP, TAF15, MEIS3, ACVR2B, REST, ZNF738, ZNF732, SSBP2, ZNF610, ZNF730",2451,979,19333,1.571114581,3.87E-07,3.87E-07,3.85E-07,5.955456286,4
UP_SEQ_FEATURE,DOMAIN:C2H2-type,TF,123,4.392857143,6.20E-11,"ZNF331, ATF2, ZNF451, ZBTB25, ZNF292, ZBTB21, ZBTB20, PRDM2, IKZF2, GPATCH8, SALL1, ZNF608, ZFP30, SALL3, ZSCAN30, ZNF83, SALL4, ZNF329, POGZ, ZNF449, ZNF844, ZNF721, ARID2, ZNF445, ZNF322, ZNF563, ZNF681, ZNF160, ZBTB37, ZFP2, ZNF91, ZNF839, ZNF717, ZNF714, ZNF678, ADNP, ZNF433, ZNF431, ZNF276, ZNF154, ZNF791, ZNF391, TSHZ2, ZBTB4, ZMAT1, ZMAT4, ZKSCAN8, DNAJC21, ZNF428, HIVEP1, ZNF667, ZNF148, ZNF785, ZNF664, ANKZF1, ZKSCAN1, TRMT1L, ZSCAN18, ZNF264, ZNF141, ZNF382, ZNF260, ZBTB10, ZNF34, TRERF1, ZFHX4, BCL6, ZNF418, ZNF658, SP8, ZNF138, ZNF655, DZIP1, ZNF532, ZNF135, ZNF652, ZNF133, ZNF254, ZNF891, ZNF770, BNC2, PHF20, ZNF43, ZNF44, ZFP82, EEA1, ZIC2, ZNF280C, ZNF404, ZNF644, ZNF521, RBM5, KLF11, KLF13, ZNF75D, ZEB1, AEBP2, ZNF516, PLAG1, ZNF66, ZBTB41, ZNF507, ZNF626, ZNF227, ZNF226, ZNF621, ZNF585A, ZNF100, ZNF581, ZNF77, KLF4, CTCFL, KLF8, ZNF33A, REST, ZNF738, ZNF217, ZNF337, ZNF732, ZNF577, ZNF334, ZNF333, ZFP28",2621,535,20532,1.801007677,5.69E-07,1.14E-07,1.13E-07,5.955456286,4
